Title, Year, Rating, Cast
A Wednesday,2008,8.2,Neeraj Pandey; Anupam Kher; Naseeruddin Shah; Jimmy Sheirgill; Deepal Shaw;
Up,2009,8.2,Pete Docter; Bob Peterson; Edward Asner; Jordan Nagai; John Ratzenberger; Christopher Plummer;
The Wolf of Wall Street,2013,8.2,Jordan Belfort; Martin Scorsese; Leonardo DiCaprio; Jonah Hill; Margot Robbie; Matthew McConaughey;
Chak De! India,2007,8.2,Shimit Amin; Shah Rukh Khan; Vidya Malvade; Sagarika Ghatge; Shilpa Shukla;
There Will Be Blood,2007,8.2,Paul Thomas Anderson; Daniel Day-Lewis; Paul Dano; Ciarán Hinds; Martin Stringer;
Pan's Labyrinth,2006,8.2,Guillermo del Toro; Ivana Baquero; Ariadna Gil; Sergi López; Maribel Verdú;
V for Vendetta,2005,8.2,James McTeigue; Hugo Weaving; Natalie Portman; Rupert Graves; Stephen Rea;
Rang De Basanti,2006,8.2,Rakeysh Omprakash Mehra; Aamir Khan; Soha Ali Khan; Siddharth; Sharman Joshi;
Black,2005,8.2,Sanjay Leela Bhansali; Amitabh Bachchan; Rani Mukerji; Shernaz Patel; Ayesha Kapoor;
Munna Bhai M.B.B.S.,2003,8.2,Rajkumar Hirani; Sanjay Dutt; Arshad Warsi; Gracy Singh; Sunil Dutt;
Batman Begins,2005,8.2,Christopher Nolan; Christian Bale; Michael Caine; Ken Watanabe; Liam Neeson;
Der Untergang,2004,8.2,Oliver Hirschbiegel; Bruno Ganz; Alexandra Maria Lara; Ulrich Matthes; Juliane Köhler;
Hauru no ugoku shiro,2004,8.2,Hayao Miyazaki; Chieko Baishô; Takuya Kimura; Tatsuya Gashûin; Akihiro Miwa;
A Beautiful Mind,2001,8.2,John Nash; Ron Howard; Russell Crowe; Ed Harris; Jennifer Connelly; Christopher Plummer;
Hera Pheri,2000,8.2,Priyadarshan; Akshay Kumar; Paresh Rawal; Sunil Shetty; Tabu;
Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo| kimi ni,1997,8.2,Shin Seiki Evangerion; Hideaki Anno; Kazuya Tsurumaki; Megumi Ogata; Megumi Hayashibara; Yûko Miyamura; Kotono Mitsuishi;
Lock| Stock and Two Smoking Barrels,1998,8.2,Guy Ritchie; Jason Flemyng; Dexter Fletcher; Nick Moran; Jason Statham;
Trainspotting,1996,8.2,Danny Boyle; Ewan McGregor; Ewen Bremner; Jonny Lee Miller; Kevin McKidd;
Heat,1995,8.2,Michael Mann; Al Pacino; Robert De Niro; Val Kilmer; Jon Voight;
Dilwale Dulhania Le Jayenge,1995,8.2,Aditya Chopra; Shah Rukh Khan; Kajol; Amrish Puri; Farida Jalal;
Casino,1995,8.2,Martin Scorsese; Robert De Niro; Sharon Stone; Joe Pesci; James Woods;
Andaz Apna Apna,1994,8.2,Rajkumar Santoshi; Aamir Khan; Salman Khan; Raveena Tandon; Karisma Kapoor;
Unforgiven,1992,8.2,Clint Eastwood; Clint Eastwood; Gene Hackman; Morgan Freeman; Richard Harris;
Da hong deng long gao gao gua,1991,8.2,Yimou Zhang; Li Gong; Jingwu Ma; Saifei He; Cuifen Cao;
Indiana Jones and the Last Crusade,1989,8.2,Adolf Hitler; Steven Spielberg; Harrison Ford; Sean Connery; Alison Doody; Denholm Elliott;
Tonari no Totoro,1988,8.2,Hayao Miyazaki; Hitoshi Takagi; Noriko Hidaka; Chika Sakamoto; Shigesato Itoi;
Die Hard,1988,8.2,John McTiernan; Bruce Willis; Alan Rickman; Bonnie Bedelia; Reginald VelJohnson;
Idi i smotri,1985,8.2,Elem Klimov; Aleksey Kravchenko; Olga Mironova; Liubomiras Laucevicius; Vladas Bagdonas;
Ran,1985,8.2,Akira Kurosawa; Tatsuya Nakadai; Akira Terao; Jinpachi Nezu; Daisuke Ryû;
Blade Runner,1982,8.2,Ridley Scott; Harrison Ford; Rutger Hauer; Sean Young; Edward James Olmos;
Raging Bull,1980,8.2,Jake LaMotta; Martin Scorsese; Robert De Niro; Cathy Moriarty; Joe Pesci; Frank Vincent;
The Elephant Man,1980,8.2,David Lynch; Anthony Hopkins; John Hurt; Anne Bancroft; John Gielgud;
The Message,1976,8.2,Moustapha Akkad; Anthony Quinn; Irene Papas; Michael Ansara; Johnny Sekka;
Sholay,1975,8.2,Ramesh Sippy; Sanjeev Kumar; Dharmendra; Amitabh Bachchan; Amjad Khan;
Chinatown,1974,8.2,Roman Polanski; Jack Nicholson; Faye Dunaway; John Huston; Perry Lopez;
Andrei Rublev,1966,8.2,Andrei Tarkovsky; Anatoliy Solonitsyn; Ivan Lapikov; Nikolay Grinko; Nikolay Sergeev;
The Great Escape,1963,8.2,John Sturges; Steve McQueen; James Garner; Richard Attenborough; Charles Bronson;
Judgment at Nuremberg,1961,8.2,Stanley Kramer; Spencer Tracy; Burt Lancaster; Richard Widmark; Marlene Dietrich;
Some Like It Hot,1959,8.2,Billy Wilder; Marilyn Monroe; Tony Curtis; Jack Lemmon; George Raft;
Smultronstället,1957,8.2,Ingmar Bergman; Victor Sjöström; Bibi Andersson; Ingrid Thulin; Gunnar Björnstrand;
Det sjunde inseglet,1957,8.2,Ingmar Bergman; Max von Sydow; Gunnar Björnstrand; Bengt Ekerot; Nils Poppe;
The Bridge on the River Kwai,1957,8.2,David Lean; William Holden; Alec Guinness; Jack Hawkins; Sessue Hayakawa;
On the Waterfront,1954,8.2,Elia Kazan; Marlon Brando; Karl Malden; Lee J. Cobb; Rod Steiger;
Dial M for Murder,1954,8.2,Alfred Hitchcock; Ray Milland; Grace Kelly; Robert Cummings; John Williams;
Tôkyô monogatari,1953,8.2,Yasujirô Ozu; Chishû Ryû; Chieko Higashiyama; Sô Yamamura; Setsuko Hara;
The Third Man,1949,8.2,Carol Reed; Orson Welles; Joseph Cotten; Alida Valli; Trevor Howard;
The Treasure of the Sierra Madre,1948,8.2,John Huston; Humphrey Bogart; Walter Huston; Tim Holt; Bruce Bennett;
Mr. Smith Goes to Washington,1939,8.2,Frank Capra; James Stewart; Jean Arthur; Claude Rains; Edward Arnold;
Gone with the Wind,1939,8.2,Victor Fleming; George Cukor; Sam Wood; Clark Gable; Vivien Leigh; Thomas Mitchell; Barbara O'Neil;
Sunrise: A Song of Two Humans,1927,8.2,F.W. Murnau; George O'Brien; Janet Gaynor; Margaret Livingston; Bodil Rosing;
The General,1926,8.2,Clyde Bruckman; Buster Keaton; Buster Keaton; Marion Mack; Glen Cavender; Jim Farley;
The Gold Rush,1925,8.2,Charles Chaplin; Charles Chaplin; Mack Swain; Tom Murray; Henry Bergman;
Sherlock Jr.,1924,8.2,Buster Keaton; Buster Keaton; Kathryn McGuire; Joe Keaton; Erwin Connelly;
Contratiempo,2016,8.1,Oriol Paulo; Mario Casas; Ana Wagener; Jose Coronado; Bárbara Lennie;
Airlift,2016,8.1,Raja Menon; Akshay Kumar; Nimrat Kaur; Kumud Mishra; Prakash Belawadi;
Title, Year, Rating, Cast
Ah-ga-ssi,2016,8.1,Chan-wook Park; Min-hee Kim; Jung-woo Ha; Jin-Woong Cho; So-Ri Moon;
Lion,2016,8.1,Garth Davis; Dev Patel; Nicole Kidman; Rooney Mara; Sunny Pawar;
Mommy,I) (2014,8.1,Xavier Dolan; Anne Dorval; Antoine Olivier Pilon; Suzanne Clément; Patrick Huard;
Haider,2014,8.1,Vishal Bhardwaj; Shahid Kapoor; Tabu; Shraddha Kapoor; Kay Kay Menon;
Logan,2017,8.1,James Mangold; Hugh Jackman; Patrick Stewart; Dafne Keen; Boyd Holbrook;
Relatos salvajes,2014,8.1,Damián Szifron; Darío Grandinetti; María Marull; Mónica Villa; Diego Starosta;
Bahubali: The Beginning,2015,8.1,S.S. Rajamouli; Prabhas; Rana Daggubati; Ramya Krishnan; Sathyaraj;
The Grand Budapest Hotel,2014,8.1,Wes Anderson; Ralph Fiennes; F. Murray Abraham; Mathieu Amalric; Adrien Brody;
Gone Girl,2014,8.1,David Fincher; Ben Affleck; Rosamund Pike; Neil Patrick Harris; Tyler Perry;
Ookami kodomo no Ame to Yuki,2012,8.1,Mamoru Hosoda; Aoi Miyazaki; Takao Ohsawa; Haru Kuroki; Yukito Nishii;
Hacksaw Ridge,2016,8.1,Desmond T. Doss; Mel Gibson; Andrew Garfield; Sam Worthington; Luke Bracey; Teresa Palmer;
Barfi!,2012,8.1,Anurag Basu; Ranbir Kapoor; Priyanka Chopra; Ileana D'Cruz; Saurabh Shukla;
12 Years a Slave,2013,8.1,Solomon Northup; Steve McQueen; Chiwetel Ejiofor; Michael Kenneth Williams; Michael Fassbender; Brad Pitt;
Guardians of the Galaxy,2014,8.1,James Gunn; Chris Pratt; Vin Diesel; Bradley Cooper; Zoe Saldana;
Rush,I) (2013,8.1,James Hunt; Niki Lauda; Ron Howard; Daniel Brühl; Chris Hemsworth; Olivia Wilde; Alexandra Maria Lara;
Spotlight,I) (2015,8.1,Tom McCarthy; Mark Ruffalo; Michael Keaton; Rachel McAdams; Liev Schreiber;
Song of the Sea,2014,8.1,Tomm Moore; David Rawle; Brendan Gleeson; Lisa Hannigan; Fionnula Flanagan;
Kahaani,2012,8.1,Sujoy Ghosh; Vidya Balan; Parambrata Chattopadhyay; Indraneil Sengupta; Nawazuddin Siddiqui;
Zindagi Na Milegi Dobara,2011,8.1,Zoya Akhtar; Hrithik Roshan; Farhan Akhtar; Abhay Deol; Katrina Kaif;
